Data;ipca;BM;M1;M2;ln_BM;ln_M1;ln_M2
dez/16;0,3;265.369.719;356.106.672;2.446.065.748;19,39663458;19,69074088;21,61774675
jan/17;0,38;260.397.372;339.559.886;2.390.710.458;19,37771938;19,64316088;21,59485642
fev/17;0,33;251.571.268;330.765.419;2.401.311.628;19,34323688;19,61691998;21,59928094
mar/17;0,25;248.035.925;327.536.761;2.413.002.766;19,32908415;19,60711085;21,60413777
abr/17;0,14;248.716.917;330.907.717;2.428.356.121;19,33182593;19,61735009;21,61048037
mai/17;0,31;248.050.620;329.640.852;2.462.036.268;19,3291434;19,61351429;21,6242546
jun/17;-0,23;250.502.233;332.318.715;2.497.091.464;19,33897839;19,62160505;21,63839248
jul/17;0,24;251.374.098;337.005.494;2.492.501.008;19,34245282;19,63560979;21,63655246
ago/17;0,19;249.865.509;332.246.885;2.513.003.631;19,33643337;19,62138888;21,64474454
set/17;0,16;254.445.013;337.527.755;2.529.390.340;19,35459531;19,6371583;21,65124414
out/17;0,42;254.300.762;337.219.206;2.516.956.654;19,35402823;19,63624374;21,64631633
nov/17;0,28;256.610.962;340.389.865;2.542.372.506;19,36307173;19,64560218;21,65636354
dez/17;0,44;282.291.930;377.118.524;2.581.696.299;19,45845231;19,74807008;21,6717125
jan/18;0,29;277.091.473;359.495.631;2.540.195.151;19,43985824;19,70021258;21,65550675
fev/18;0,32;268.674.457;352.353.259;2.555.764.990;19,40901101;19,68014481;21,66161742
mar/18;0,09;264.988.299;353.085.750;2.610.244.305;19,39519623;19,6822215;21,68270966
abr/18;0,22;262.149.570;355.298.596;2.610.320.393;19,38442578;19,68846911;21,68273881
mai/18;0,4;263.424.071;355.090.493;2.639.056.258;19,38927573;19,68788322;21,69368721
jun/18;1,26;265.082.605;358.080.184;2.687.682.367;19,39555205;19,6962675;21,71194509
jul/18;0,33;267.340.246;363.565.694;2.687.705.607;19,40403273;19,71147056;21,71195373
ago/18;-0,09;267.917.708;364.099.050;2.722.687.661;19,40619043;19,7129365;21,72488534
set/18;0,48;275.233.403;373.223.537;2.768.549.987;19,43313003;19,73768809;21,74158955
out/18;0,45;277.461.939;368.955.636;2.758.971.123;19,44119432;19,72618697;21,73812367
nov/18;-0,21;275.490.392;369.275.906;2.767.462.368;19,43406331;19,72705464;21,74119662
dez/18;0,15;298.416.099;403.197.275;2.851.295.642;19,51399938;19,81493652;21,77103934
jan/19;0,32;288.827.411;383.047.405;2.782.890.822;19,48133987;19,76366931;21,74675609
fev/19;0,43;278.807.479;373.655.326;2.789.368.553;19,44603206;19,73884434;21,74908108
mar/19;0,75;277.602.465;375.135.896;2.826.921.482;19,44170067;19,74279891;21,76245414
abr/19;0,57;275.178.211;377.238.871;2.837.567.785;19,43292949;19,74838915;21,76621311
mai/19;0,13;271.843.885;371.317.822;2.858.260.568;19,42073851;19,73256892;21,77347908
jun/19;0,01;274.001.077;373.804.135;2.882.284.876;19,4286426;19,73924251;21,78184918
jul/19;0,19;273.466.549;376.817.772;2.887.363.074;19,42668987;19,74727227;21,78360949
ago/19;0,11;275.518.402;374.621.652;2.910.893.771;19,43416498;19,74142715;21,79172601
set/19;-0,04;281.284.398;383.352.236;2.954.813.223;19,45487681;19,7644648;21,80670128
